Highlight,Book Title,Book Author,Amazon Book ID,Note,Color,Tags,Location Type,Location,Highlighted at,Document tags
“The Definition of Hell is being on your deathbed and meeting the man you could have become.”,The Pursuit of Legendary Fatherhood: Break Old Patterns and Create an Epic Legacy as a Father and Husband,Larry  Hagner,B0FR3RGM74,,yellow,,location,55,2026-01-31 04:56:00+00:00,
"“Take it to Kleinmann first. Once he’s behind me, Castro and Najjar will have the cover they need.” “If you say so, ma’am.” “If I say so?” The assistant inclined his head. “With permission, Chung is in a stronger position than Kleinmann.” “Are you second-guessing me, Martinez?” “Yes, ma’am.” Avasarala shrugged. “Chung, then. Now go.”",Nemesis Games (The Expanse),James S. A. Corey,B00O7X626W,,yellow,,location,6949,2026-02-22 04:56:00+00:00,
"Nothing about that had changed, and everything had. An old picture made into something new by replacing the frame.",Nemesis Games (The Expanse),James S. A. Corey,B00O7X626W,,yellow,,location,7121,2026-02-22 04:56:00+00:00,
"Things changed, and they didn’t change back. But sometimes they got better.",Nemesis Games (The Expanse),James S. A. Corey,B00O7X626W,,yellow,,location,7126,2026-02-22 04:56:00+00:00,
"War, Sauveterre thought as he pulled himself to the command deck, had long since ceased to be about controlling territory. The job of a military was to disrupt its enemies.",Nemesis Games (The Expanse),James S. A. Corey,B00O7X626W,,yellow,,location,7246,2026-02-22 04:56:00+00:00,
"“Thus does age make cowards of us all. Or maybe that’s conscience,”",Nemesis Games (The Expanse),James S. A. Corey,B00O7X626W,,yellow,,location,6714,2026-02-22 04:56:00+00:00,
We’re still humans after all. Some percentage of us are always going to be assholes.”,Nemesis Games (The Expanse),James S. A. Corey,B00O7X626W,,yellow,,location,291,2025-12-08 04:56:00+00:00,
"If Amos could be said to have a philosophy, it would be that. The concrete replaces the forest. You get in its way, you get paved over. If you can find a way to live in the cracks, you can thrive anywhere. There were always cracks.",Nemesis Games (The Expanse),James S. A. Corey,B00O7X626W,,yellow,,location,584,2025-12-08 04:56:00+00:00,
Holden couldn’t tell if she was melancholy or solving a complex engineering problem in her head. Those looks were confusingly similar.,Nemesis Games (The Expanse),James S. A. Corey,B00O7X626W,,yellow,,location,775,2025-12-08 04:56:00+00:00,
"“Except that is what’s happening. There’s no negotiation on this. So, either I go because you understand and will give me the space to handle this on my own, or I go because we’ve broken up and you no longer get any vote in what I do.” “Wait, what?” “Have we broken up?” Naomi asked. She squeezed his hand. “No, of course not.” “Then thank you for trusting me enough to let me handle this on my own.” “Is that what I just said?” Holden asked. “Yeah, pretty much.” Naomi stood up.",Nemesis Games (The Expanse),James S. A. Corey,B00O7X626W,,yellow,,location,788,2025-12-08 04:56:00+00:00,
"Seemed like a fact of the universe that the closer you got to anything, the worse it looked.",Nemesis Games (The Expanse),James S. A. Corey,B00O7X626W,,yellow,,location,1022,2025-12-08 04:56:00+00:00,
"if you hear hoofbeats in the distance, your first guess is that they’re horses, not zebras. And you’re hearing hoofbeats and jumping straight to unicorns.”",Nemesis Games (The Expanse),James S. A. Corey,B00O7X626W,,yellow,,location,1186,2025-12-08 04:56:00+00:00,
You can tell you’ve found a really interesting question when nobody wants you to answer it.,Nemesis Games (The Expanse),James S. A. Corey,B00O7X626W,,yellow,,location,1285,2025-12-08 04:56:00+00:00,
"“What did you do?” Fred asked. “There was a button,” Holden said. “I pushed it.” “Jesus Christ. That really is how you go through life, isn’t it?”",Nemesis Games (The Expanse),James S. A. Corey,B00O7X626W,,yellow,,location,2399,2025-12-08 04:56:00+00:00,
"All their plans had been made by kids this young. Looked at that way, it made sense how nothing had worked out.",Nemesis Games (The Expanse),James S. A. Corey,B00O7X626W,,yellow,,location,2449,2025-12-08 04:56:00+00:00,
"as much as she didn’t want to undo the fragile moment, the only thing worse than talking about it was leaving it all unsaid.",Nemesis Games (The Expanse),James S. A. Corey,B00O7X626W,,yellow,,location,2751,2025-12-08 04:56:00+00:00,
Realizing you’ve got shit on your fingers is the first step toward washing your hands.”,Nemesis Games (The Expanse),James S. A. Corey,B00O7X626W,,yellow,,location,2883,2025-12-08 04:56:00+00:00,
"“You know the difference between a code and a cipher, Holden?” “What?” “A code and a cipher. Cipher, you encrypt text so that no one can tell what the words in the message are. A code, you say the words right out in the open, but you change what they mean. Anyone with a smart computer and a lot of time can break a cipher. No one can break a code.”",Nemesis Games (The Expanse),James S. A. Corey,B00O7X626W,,yellow,,location,3377,2025-12-08 04:56:00+00:00,
